"Add debug info in generated files","Ajouter les informations de debug dans les fichiers générés"
"Do not forget to install ruby and sass on your server.<br/>If you do not want to use sass in command line, phpSass will be used instead","N'oubliez pas d'installer ruby et sass sur votre serveur.<br/> Si vou ne voulez pas utiliser sass en ligne de commande, PhpSass sera alors utilisé."
"Sass command","Commande pour exécuter sass"
"Sass settings","Configuration de Sass"
"Use sass in command line","Utiliser sass en ligne de commande"
"Use then FireSass plugin for <a href=""https://addons.mozilla.org/en-US/firefox/addon/firesass-for-firebug/"" target=""_blank"">FireBug</a>.","Utilisez alors le plugin FireSass pour <a href=""https://addons.mozilla.org/en-US/firefox/addon/firesass-for-firebug/"" target=""_blank"">FireBug</a>."
